Player,No.,Flag,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary,Salary,Draft,Player-additional
Ben Chiarot,8,ca,D,32,3-Jun,224,L/-,10,May 9 1991,3 G 9 A 12 P,"$5,250,000 ",2009 ATL 4th (120),chiarbe01
J.T. Compher,37,us,F,28,Jun-00,190,R/-,7,April 8 1995,11 G 18 A 29 P,"$5,500,000 ",2013 BUF 2nd (35),comphj.01
Andrew Copp,18,us,F,29,1-Jun,203,L/-,9,July 8 1994,10 G 14 A 24 P,"$6,250,000 ",2013 WPG 4th (104),coppan01
Alex DeBrincat,93,us,F,26,8-May,180,R/-,6,December 18 1997,18 G 25 A 43 P,"$8,250,000 ",2016 CHI 2nd (39),debrial01
Robby Fabbri,14,ca,F,28,1-Jun,185,L/-,7,January 22 1996,13 G 8 A 21 P,"$4,250,000 ",2014 STL 1st (21),fabbrro01
Christian Fischer,36,us,F,26,2-Jun,212,R/-,7,April 15 1997,2 G 8 A 10 P,"$1,125,000 ",2015 ARI 2nd (32),fischch01
Shayne Gostisbehere,41,us,D,30,11-May,183,L/-,9,April 20 1993,7 G 25 A 32 P,"$4,125,000 ",2012 PHI 3rd (78),gostish01
Justin Holl,3,us,D,32,4-Jun,194,R/-,6,January 30 1992,0 G 5 A 5 P,"$3,400,000 ",2010 CHI 2nd (54),hollju01
Ville Husso,35,fi,G,28,3-Jun,205,-/L,3,February 6 1995,9-5-2 3.53 GAA,"$4,750,000 ",2014 STL 4th (94),hussovi01
Patrick Kane,88,us,F,35,10-May,177,L/-,16,November 19 1988,7 G 10 A 17 P,"$2,750,000 ",2007 CHI 1st (1),kanepa01
Klim Kostin,24,ru,F,24,4-Jun,232,L/-,4,May 5 1999,3 G 1 A 4 P,"$1,800,000 ",2017 STL 1st (31),kostikl01
Dylan Larkin (C),71,us,F,27,1-Jun,199,L/-,8,July 30 1996,23 G 24 A 47 P,"$10,000,000 ",2014 DET 1st (15),larkidy01
Alex Lyon,34,us,G,31,1-Jun,196,-/L,6,December 9 1992,14-6-2 2.54 GAA,"$900,000 ",,lyonal01
Olli Maatta,2,fi,D,29,2-Jun,207,L/-,10,August 22 1994,2 G 10 A 12 P,"$3,000,000 ",2012 PIT 1st (22),maattol01
David Perron,57,ca,F,35,Jun-00,195,R/-,16,May 28 1988,10 G 14 A 24 P,"$5,150,000 ",2007 STL 1st (26),perroda01
